"ra" "dec" "zspec" "Vel" "flag" "r"
"230" 247.17609 40.123915 0.0336 10063.883 0 14.5921
"405" 245.36111 40.24206 0.0337 10090.145 0 17.5329
"93" 246.996769 40.497266 0.0337 10108.132 0 14.3235
"446" 247.185376 39.48458 0.0337 10113.978 0 15.7004
"425" 246.765074 39.527358 0.0338 10127.499 0 13.821
"73" 247.192735 40.617829 0.0338 10128.398 0 16.9962
"16" 247.08984 40.906797 0.0338 10135.713 0 14.8594
"345" 247.421922 39.748121 0.0338 10146.746 0 15.4562
"471" 245.224239 40.104126 0.0339 10149.234 0 13.5581
"145" 247.630805 41.094131 0.034 10200.678 0 17.1587
"410" 247.180448 39.56877 0.034 10201.608 0 17.3411
"224" 246.941659 40.119032 0.034 10203.137 0 16.3378
"461" 247.154902 39.445354 0.034 10206.674 0 17.5981
"277" 247.869219 40.141685 0.0341 10214.409 0 16.9885
"34" 247.009457 41.116234 0.0342 10257.219 0 17.305
"54" 247.288964 40.987603 0.0344 10305.396 0 14.2144
"42" 247.23909 40.899393 0.0346 10375.817 0 15.5107
"475" 246.920041 39.395929 0.0349 10459.339 0 16.083
"385" 246.705312 39.601384 0.0349 10461.438 0 17.795
"389" 247.235933 39.609483 0.0351 10537.405 0 16.9711
"466" 247.187794 39.437092 0.0352 10560.309 0 14.7107
"9" 247.026818 40.986812 0.0357 10706.728 0 17.5632
