"clusterID" "ra" "dec" "u" "g" "r" "i" "z" "zspec" "zerrx" "Vel" "Vel_err" "radp" "radmpc" "Voff" "Flag" "run" "camcol" "field" "DR12id" "DR12specObjID" "lgm_tot_p50" "sfr_tot_p50" "specsfr_tot_p50" "d4000_n"
"80" 1 10.520954 -9.534448 0 0 15.0055 0 0 0.052804 0 15830.184 0 0.23935 0.923274 -688.38 0 1729 5 152 "1237652901289525406" "737617032492640256" 10.72157 0.2675005 -10.50503 1.560055
"81" 1 10.184363 -9.373114 0 0 16.8053 0 0 0.057126 0 17125.926 0 0.241504 0.931582 607.362 0 1666 5 259 "1237652630713598061" "737600814696130560" 10.13163 -1.08786 -11.2743 1.66576
"82" 1 10.303303 -9.534406 0 0 15.5008 0 0 0.057138 0 17129.526 0 0.248003 0.956652 610.962 0 1666 5 260 "1237652630713663585" "737601089574037504" 10.67614 -0.1235883 -10.83795 1.706517
"83" 1 10.183598 -9.399686 0 0 15.9574 0 0 0.058474 0 17530.07 0 0.249854 0.963793 1011.506 0 1666 5 259 "1237652630713597991" "737591743725201408" 10.65251 -1.783443 -12.47159 1.905226
"84" 1 10.63573 -9.454203 0 0 17.7529 0 0 0.057355 0 17194.462 0 0.25213 0.972573 675.897 0 1666 5 262 "1237652630713794676" "737627477853104128" 9.834927 -1.085703 -10.97236 1.775449
"85" 1 10.642528 -9.181383 0 0 16.823 0 0 0.05447 0 16329.62 0 0.255721 0.986426 -188.944 0 1740 5 92 "1237652948530233567" "738693454141351936" 10.2272 -1.223723 -11.45794 1.767402
"86" 1 10.327076 -9.077406 0 0 17.6798 0 0 0.059814 0 17931.786 0 0.256245 0.988447 1413.222 0 1729 6 151 "1237652901826330692" "737612359568222208" 9.976662 -1.407733 -11.43786 1.84621
"87" 1 10.667695 -9.399175 0 0 17.3648 0 0 0.054993 0 16486.526 0 0.256255 0.988484 -32.039 0 1666 5 262 "1237652630713794696" "737626378341476352" 9.966145 -1.690416 -11.72423 1.59909
"88" 1 10.590273 -9.116658 0 0 16.0881 0 0 0.052406 0 15710.828 0 0.259268 1.000106 -807.737 0 1740 5 92 "1237652948530233524" "738679710246004736" 10.44697 -0.8302614 -11.35368 1.762956
"89" 1 10.369033 -9.574099 0 0 15.4514 0 0 0.053315 0 15983.558 0 0.263489 1.016391 -535.007 0 1740 4 90 "1237652947993231583" "737599165428688896" 10.83004 -1.310937 -12.18162 2.002226
"90" 1 10.566306 -9.547807 0 0 15.5756 0 0 0.059128 0 17726.101 0 0.272102 1.049612 1207.537 0 1740 4 92 "1237652947993362612" "738699501455304704" 10.85629 -1.117255 -12.03211 1.955526
"91" 1 10.329314 -9.573296 0 0 16.6399 0 0 0.058257 0 17464.904 0 0.273231 1.053969 946.34 0 1740 4 90 "1237652947993231500" "737599990062409728" 10.45732 -1.796877 -12.32952 2.024996
"92" 1 10.641244 -9.14619 0 0 16.4941 0 0 0.055624 0 16675.695 0 0.27486 1.060254 157.13 0 1740 5 92 "1237652948530233556" "737634349800777728" 10.34228 -0.290992 -10.67939 1.442149
"93" 1 10.482236 -9.042989 0 0 16.5973 0 0 0.057953 0 17373.776 0 0.279255 1.077204 855.212 0 1729 6 152 "1237652901826396168" "738679435368097792" 10.4193 -1.454937 -11.93314 1.694677
"94" 1 10.378064 -9.037471 0 0 16.0926 0 0 0.050784 0 15224.735 0 0.281773 1.086918 -1293.829 0 1729 6 151 "1237652901826330715" "737623904440313856" 10.48643 -1.09306 -11.64198 1.847591
"95" 1 10.488949 -9.589941 0 0 16.4609 0 0 0.053048 0 15903.318 0 0.281894 1.087384 -615.246 0 1740 4 91 "1237652947993297035" "738699226577397760" 10.09111 -0.1677947 -10.3158 1.472308
"96" 1 10.524426 -9.044636 0 0 15.6546 0 0 0.055506 0 16640.154 0 0.289413 1.11639 121.59 0 1729 6 152 "1237652901826396237" "737619506393802752" 10.78707 -1.430753 -12.27472 1.996182
"97" 1 10.223597 -9.102035 0 0 17.1642 0 0 0.056767 0 17018.444 0 0.290007 1.118679 499.88 0 1729 6 150 "1237652901826265182" "737590919091480576" 10.02979 -1.876794 -11.95395 1.839046
"98" 1 10.175907 -9.478113 0 0 15.9016 0 0 0.053639 0 16080.469 0 0.292156 1.126969 -438.096 0 1666 5 259 "1237652630713598056" "738688781216933888" 10.64536 -0.8795973 -11.58445 1.803388
"99" 1 10.303882 -9.038153 0 0 16.773 0 0 0.055218 0 16553.835 0 0.301232 1.161981 35.271 0 1729 6 151 "1237652901826330678" "737610435422873600" 10.29447 -1.749921 -12.09364 1.882235
"100" 1 10.525083 -9.601753 0 0 16.3037 0 0 0.052832 0 15838.497 0 0.303402 1.17035 -680.067 0 1740 4 91 "1237652947993297154" "738700051211118592" 10.33774 -1.178832 -11.56881 1.659994
"101" 1 10.466323 -9.616426 0 0 17.4562 0 0 0.054056 0 16205.491 0 0.303705 1.171518 -313.073 0 1740 4 91 "1237652947993297020" "737607136887990272" 9.862805 -1.516048 -11.4349 1.844229
"102" 1 10.395466 -9.013121 0 0 16.4516 0 0 0.058489 0 17534.501 0 0.303889 1.17223 1015.937 0 1729 6 151 "1237652901826330732" "737623079806593024" 10.40973 -1.29716 -11.75845 1.819149
"103" 1 10.664742 -9.514949 0 0 15.9569 0 0 0.057408 0 17210.509 0 0.311377 1.201112 691.945 0 1666 5 262 "1237652630713794689" "737628027608918016" 10.75578 -0.6512966 -11.46399 1.836955
"104" 1 10.400858 -8.99297 0 0 16.2169 0 0 0.059735 0 17908.171 0 0.323581 1.248189 1389.607 0 1729 6 151 "1237652901826330741" "737623354684499968" 10.52057 -1.003447 -11.58142 1.746662
"105" 1 10.195033 -9.55041 0 0 16.9871 0 0 0.057388 0 17204.397 0 0.324386 1.251294 685.832 0 1740 4 89 "1237652947993165970" "738688506339026944" 10.25411 -1.396135 -11.7034 1.779457
"106" 1 10.644471 -9.07675 0 0 16.9436 0 0 0.050396 0 15108.248 0 0.324535 1.251869 -1410.317 0 1729 6 153 "1237652901826461760" "737630501510080512" 9.773727 0.1434415 -9.679965 1.233506
